+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   00 |   00 |   0c |   00 |   00 |   00 |   0 |   01 |   00 | 000104 | 000000 | 000000 |   56 |   ff |    e |    0 | 0eff5600000000000002080080006000 |
|  1 |   00 |   00 |   0a |   00 |   00 |   00 |   0 |   03 |   02 | 000080 | 000080 | 000000 |   aa |   ff |    e |    0 | 0effaa00000000200001002180005000 |
|  2 |   00 |   00 |   0c |   00 |   00 |   00 |   0 |   00 |   02 | 000084 | 000080 | 000000 |   56 |   ff |    e |    0 | 0eff5600000000200001082000006000 |
|  3 |   00 |   00 |   01 |   00 |   00 |   00 |   0 |   00 |   04 | 000020 | 000000 | 000000 |   a9 |   ff |    e |    0 | 0effa900000000000000404000000800 |
|  4 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000200 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000004000000000000 |
|  5 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   05 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000280000000 |
|  6 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   06 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000300000000 |
|  7 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   07 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000380000000 |
|  8 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   08 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000400000000 |
|  9 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   09 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000480000000 |
|  a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0a |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000500000000 |
|  b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0b |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000580000000 |
|  c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0c |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000600000000 |
|  d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0d |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000680000000 |
|  e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0e |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000700000000 |
|  f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   0f |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000780000000 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   10 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000800000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   11 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000880000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   12 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000900000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   13 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000980000000 |
| 14 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   14 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000a00000000 |
| 15 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   15 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000a80000000 |
| 16 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   16 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000b00000000 |
| 17 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   17 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000b80000000 |
| 18 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   18 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000c00000000 |
| 19 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   19 |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000c80000000 |
| 1a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   1a |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000d00000000 |
| 1b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   1b |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000d80000000 |
| 1c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   1c |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000e00000000 |
| 1d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   1d |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000e80000000 |
| 1e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   1e |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000f00000000 |
| 1f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   1f |   00 | 000000 | 000000 | 000000 |   ff |   ff |    e |    0 | 0effff00000000000000000f80000000 |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
