+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
| ST | Mux0 | Mux1 | Mux2 | Mux3 | Mux4 | Mux5 | Inc | JmpA | JmpB |   OutA |   OutB |    Out | CfgA | CfgB | CfgC | CfgD |                             STEW |
+----+------+------+------+------+------+------+-----+------+------+--------+--------+--------+------+------+------+------+----------------------------------+
|  0 |   00 |   00 |   08 |   00 |   00 |   00 |   0 |   01 |   00 | 000100 | 000001 | 000000 |   aa |   ff |    0 |    0 | 00ffaa00000000004002000080004000 |
|  1 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   02 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020100000000 |
|  2 |   00 |   00 |   0d |   00 |   00 |   00 |   0 |   03 |   02 | 000001 | 000041 | 000000 |   aa |   ff |    0 |    0 | 00ffaa00000000104000022180006800 |
|  3 |   00 |   00 |   0e |   00 |   00 |   00 |   0 |   02 |   04 | 000001 | 000001 | 000000 |   55 |   ff |    0 |    0 | 00ff5500000000004000024100007000 |
|  4 |   09 |   00 |   00 |   00 |   00 |   00 |   0 |   05 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    a |    0 | 0affff00000000000000020280000012 |
|  5 |   00 |   00 |   08 |   00 |   00 |   00 |   0 |   00 |   05 | 000001 | 000001 | 000000 |   55 |   ff |    0 |    0 | 00ff5500000000004000025000004000 |
|  6 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  7 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  8 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  9 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  a |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  b |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  c |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  d |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  e |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
|  f |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 10 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 11 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 12 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 13 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 14 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 15 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 16 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
| 17 |   00 |   00 |   00 |   00 |   00 |   00 |   0 |   00 |   00 | 000001 | 000000 | 000000 |   ff |   ff |    0 |    0 | 00ffff00000000000000020000000000 |
